TheDate,TheDay,TheDaySuffix,TheDayName,TheDayOfWeek,TheDayOfWeekInMonth,TheDayOfYear,IsWeekend,TheWeek,TheISOweek,TheFirstOfWeek,TheLastOfWeek,TheWeekOfMonth,TheMonth,TheMonthName,TheFirstOfMonth,TheLastOfMonth,TheFirstOfNextMonth,TheLastOfNextMonth,TheQuarter,TheFirstOfQuarter,TheLastOfQuarter,TheYear,TheISOYear,TheFirstOfYear,TheLastOfYear,IsLeapYear,Has53Weeks,Has53ISOWeeks,MMYYYY,Style101,Style103,Style112,Style120
2012-02-09,9,th,Thursday,5,2,40,0,6,6,2012-02-05,2012-02-11,2,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/09/2012,09/02/2012,20120209,2012-02-09
2012-02-10,10,th,Friday,6,2,41,0,6,6,2012-02-05,2012-02-11,2,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/10/2012,10/02/2012,20120210,2012-02-10
2012-02-11,11,th,Saturday,7,2,42,1,6,6,2012-02-05,2012-02-11,2,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/11/2012,11/02/2012,20120211,2012-02-11
2012-02-12,12,th,Sunday,1,2,43,1,7,6,2012-02-12,2012-02-18,3,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/12/2012,12/02/2012,20120212,2012-02-12
2012-02-13,13,th,Monday,2,2,44,0,7,7,2012-02-12,2012-02-18,3,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/13/2012,13/02/2012,20120213,2012-02-13
2012-02-14,14,th,Tuesday,3,2,45,0,7,7,2012-02-12,2012-02-18,3,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/14/2012,14/02/2012,20120214,2012-02-14
2012-02-15,15,th,Wednesday,4,3,46,0,7,7,2012-02-12,2012-02-18,3,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/15/2012,15/02/2012,20120215,2012-02-15
2012-02-16,16,th,Thursday,5,3,47,0,7,7,2012-02-12,2012-02-18,3,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/16/2012,16/02/2012,20120216,2012-02-16
2012-02-17,17,th,Friday,6,3,48,0,7,7,2012-02-12,2012-02-18,3,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/17/2012,17/02/2012,20120217,2012-02-17
2012-02-18,18,th,Saturday,7,3,49,1,7,7,2012-02-12,2012-02-18,3,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/18/2012,18/02/2012,20120218,2012-02-18
2012-02-19,19,th,Sunday,1,3,50,1,8,7,2012-02-19,2012-02-25,4,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/19/2012,19/02/2012,20120219,2012-02-19
2012-02-20,20,th,Monday,2,3,51,0,8,8,2012-02-19,2012-02-25,4,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/20/2012,20/02/2012,20120220,2012-02-20
2012-02-21,21,st,Tuesday,3,3,52,0,8,8,2012-02-19,2012-02-25,4,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/21/2012,21/02/2012,20120221,2012-02-21
2012-02-22,22,nd,Wednesday,4,4,53,0,8,8,2012-02-19,2012-02-25,4,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/22/2012,22/02/2012,20120222,2012-02-22
2012-02-23,23,rd,Thursday,5,4,54,0,8,8,2012-02-19,2012-02-25,4,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/23/2012,23/02/2012,20120223,2012-02-23
2012-02-24,24,th,Friday,6,4,55,0,8,8,2012-02-19,2012-02-25,4,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/24/2012,24/02/2012,20120224,2012-02-24
2012-02-25,25,th,Saturday,7,4,56,1,8,8,2012-02-19,2012-02-25,4,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/25/2012,25/02/2012,20120225,2012-02-25
2012-02-26,26,th,Sunday,1,4,57,1,9,8,2012-02-26,2012-03-03,5,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/26/2012,26/02/2012,20120226,2012-02-26
2012-02-27,27,th,Monday,2,4,58,0,9,9,2012-02-26,2012-03-03,5,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/27/2012,27/02/2012,20120227,2012-02-27
2012-02-28,28,th,Tuesday,3,4,59,0,9,9,2012-02-26,2012-03-03,5,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/28/2012,28/02/2012,20120228,2012-02-28
2012-02-29,29,th,Wednesday,4,5,60,0,9,9,2012-02-26,2012-03-03,5,2,February,2012-02-01,2012-02-29,2012-03-01,2012-03-31,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,022012,02/29/2012,29/02/2012,20120229,2012-02-29
2012-03-01,1,st,Thursday,5,1,61,0,9,9,2012-02-26,2012-03-03,1,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/01/2012,01/03/2012,20120301,2012-03-01
2012-03-02,2,nd,Friday,6,1,62,0,9,9,2012-02-26,2012-03-03,1,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/02/2012,02/03/2012,20120302,2012-03-02
2012-03-03,3,rd,Saturday,7,1,63,1,9,9,2012-02-26,2012-03-03,1,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/03/2012,03/03/2012,20120303,2012-03-03
2012-03-04,4,th,Sunday,1,1,64,1,10,9,2012-03-04,2012-03-10,2,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/04/2012,04/03/2012,20120304,2012-03-04
2012-03-05,5,th,Monday,2,1,65,0,10,10,2012-03-04,2012-03-10,2,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/05/2012,05/03/2012,20120305,2012-03-05
2012-03-06,6,th,Tuesday,3,1,66,0,10,10,2012-03-04,2012-03-10,2,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/06/2012,06/03/2012,20120306,2012-03-06
2012-03-07,7,th,Wednesday,4,1,67,0,10,10,2012-03-04,2012-03-10,2,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/07/2012,07/03/2012,20120307,2012-03-07
2012-03-08,8,th,Thursday,5,2,68,0,10,10,2012-03-04,2012-03-10,2,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/08/2012,08/03/2012,20120308,2012-03-08
2012-03-09,9,th,Friday,6,2,69,0,10,10,2012-03-04,2012-03-10,2,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/09/2012,09/03/2012,20120309,2012-03-09
2012-03-10,10,th,Saturday,7,2,70,1,10,10,2012-03-04,2012-03-10,2,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/10/2012,10/03/2012,20120310,2012-03-10
2012-03-11,11,th,Sunday,1,2,71,1,11,10,2012-03-11,2012-03-17,3,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/11/2012,11/03/2012,20120311,2012-03-11
2012-03-12,12,th,Monday,2,2,72,0,11,11,2012-03-11,2012-03-17,3,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/12/2012,12/03/2012,20120312,2012-03-12
2012-03-13,13,th,Tuesday,3,2,73,0,11,11,2012-03-11,2012-03-17,3,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/13/2012,13/03/2012,20120313,2012-03-13
2012-03-14,14,th,Wednesday,4,2,74,0,11,11,2012-03-11,2012-03-17,3,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/14/2012,14/03/2012,20120314,2012-03-14
2012-03-15,15,th,Thursday,5,3,75,0,11,11,2012-03-11,2012-03-17,3,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/15/2012,15/03/2012,20120315,2012-03-15
2012-03-16,16,th,Friday,6,3,76,0,11,11,2012-03-11,2012-03-17,3,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/16/2012,16/03/2012,20120316,2012-03-16
2012-03-17,17,th,Saturday,7,3,77,1,11,11,2012-03-11,2012-03-17,3,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/17/2012,17/03/2012,20120317,2012-03-17
2012-03-18,18,th,Sunday,1,3,78,1,12,11,2012-03-18,2012-03-24,4,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/18/2012,18/03/2012,20120318,2012-03-18
2012-03-19,19,th,Monday,2,3,79,0,12,12,2012-03-18,2012-03-24,4,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/19/2012,19/03/2012,20120319,2012-03-19
2012-03-20,20,th,Tuesday,3,3,80,0,12,12,2012-03-18,2012-03-24,4,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/20/2012,20/03/2012,20120320,2012-03-20
2012-03-21,21,st,Wednesday,4,3,81,0,12,12,2012-03-18,2012-03-24,4,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/21/2012,21/03/2012,20120321,2012-03-21
2012-03-22,22,nd,Thursday,5,4,82,0,12,12,2012-03-18,2012-03-24,4,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/22/2012,22/03/2012,20120322,2012-03-22
2012-03-23,23,rd,Friday,6,4,83,0,12,12,2012-03-18,2012-03-24,4,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/23/2012,23/03/2012,20120323,2012-03-23
2012-03-24,24,th,Saturday,7,4,84,1,12,12,2012-03-18,2012-03-24,4,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/24/2012,24/03/2012,20120324,2012-03-24
2012-03-25,25,th,Sunday,1,4,85,1,13,12,2012-03-25,2012-03-31,5,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/25/2012,25/03/2012,20120325,2012-03-25
2012-03-26,26,th,Monday,2,4,86,0,13,13,2012-03-25,2012-03-31,5,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/26/2012,26/03/2012,20120326,2012-03-26
2012-03-27,27,th,Tuesday,3,4,87,0,13,13,2012-03-25,2012-03-31,5,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/27/2012,27/03/2012,20120327,2012-03-27
2012-03-28,28,th,Wednesday,4,4,88,0,13,13,2012-03-25,2012-03-31,5,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/28/2012,28/03/2012,20120328,2012-03-28
2012-03-29,29,th,Thursday,5,5,89,0,13,13,2012-03-25,2012-03-31,5,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/29/2012,29/03/2012,20120329,2012-03-29
2012-03-30,30,th,Friday,6,5,90,0,13,13,2012-03-25,2012-03-31,5,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/30/2012,30/03/2012,20120330,2012-03-30
2012-03-31,31,st,Saturday,7,5,91,1,13,13,2012-03-25,2012-03-31,5,3,March,2012-03-01,2012-03-31,2012-04-01,2012-04-30,1,2012-01-01,2012-03-31,2012,2012,2012-01-01,2012-12-31,1,1,0,032012,03/31/2012,31/03/2012,20120331,2012-03-31
2012-04-01,1,st,Sunday,1,1,92,1,14,13,2012-04-01,2012-04-07,1,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/01/2012,01/04/2012,20120401,2012-04-01
2012-04-02,2,nd,Monday,2,1,93,0,14,14,2012-04-01,2012-04-07,1,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/02/2012,02/04/2012,20120402,2012-04-02
2012-04-03,3,rd,Tuesday,3,1,94,0,14,14,2012-04-01,2012-04-07,1,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/03/2012,03/04/2012,20120403,2012-04-03
2012-04-04,4,th,Wednesday,4,1,95,0,14,14,2012-04-01,2012-04-07,1,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/04/2012,04/04/2012,20120404,2012-04-04
2012-04-05,5,th,Thursday,5,1,96,0,14,14,2012-04-01,2012-04-07,1,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/05/2012,05/04/2012,20120405,2012-04-05
2012-04-06,6,th,Friday,6,1,97,0,14,14,2012-04-01,2012-04-07,1,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/06/2012,06/04/2012,20120406,2012-04-06
2012-04-07,7,th,Saturday,7,1,98,1,14,14,2012-04-01,2012-04-07,1,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/07/2012,07/04/2012,20120407,2012-04-07
2012-04-08,8,th,Sunday,1,2,99,1,15,14,2012-04-08,2012-04-14,2,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/08/2012,08/04/2012,20120408,2012-04-08
2012-04-09,9,th,Monday,2,2,100,0,15,15,2012-04-08,2012-04-14,2,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/09/2012,09/04/2012,20120409,2012-04-09
2012-04-10,10,th,Tuesday,3,2,101,0,15,15,2012-04-08,2012-04-14,2,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/10/2012,10/04/2012,20120410,2012-04-10
2012-04-11,11,th,Wednesday,4,2,102,0,15,15,2012-04-08,2012-04-14,2,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/11/2012,11/04/2012,20120411,2012-04-11
2012-04-12,12,th,Thursday,5,2,103,0,15,15,2012-04-08,2012-04-14,2,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/12/2012,12/04/2012,20120412,2012-04-12
2012-04-13,13,th,Friday,6,2,104,0,15,15,2012-04-08,2012-04-14,2,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/13/2012,13/04/2012,20120413,2012-04-13
2012-04-14,14,th,Saturday,7,2,105,1,15,15,2012-04-08,2012-04-14,2,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/14/2012,14/04/2012,20120414,2012-04-14
2012-04-15,15,th,Sunday,1,3,106,1,16,15,2012-04-15,2012-04-21,3,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/15/2012,15/04/2012,20120415,2012-04-15
2012-04-16,16,th,Monday,2,3,107,0,16,16,2012-04-15,2012-04-21,3,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/16/2012,16/04/2012,20120416,2012-04-16
2012-04-17,17,th,Tuesday,3,3,108,0,16,16,2012-04-15,2012-04-21,3,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/17/2012,17/04/2012,20120417,2012-04-17
2012-04-18,18,th,Wednesday,4,3,109,0,16,16,2012-04-15,2012-04-21,3,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/18/2012,18/04/2012,20120418,2012-04-18
2012-04-19,19,th,Thursday,5,3,110,0,16,16,2012-04-15,2012-04-21,3,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/19/2012,19/04/2012,20120419,2012-04-19
2012-04-20,20,th,Friday,6,3,111,0,16,16,2012-04-15,2012-04-21,3,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/20/2012,20/04/2012,20120420,2012-04-20
2012-04-21,21,st,Saturday,7,3,112,1,16,16,2012-04-15,2012-04-21,3,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/21/2012,21/04/2012,20120421,2012-04-21
2012-04-22,22,nd,Sunday,1,4,113,1,17,16,2012-04-22,2012-04-28,4,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/22/2012,22/04/2012,20120422,2012-04-22
2012-04-23,23,rd,Monday,2,4,114,0,17,17,2012-04-22,2012-04-28,4,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/23/2012,23/04/2012,20120423,2012-04-23
2012-04-24,24,th,Tuesday,3,4,115,0,17,17,2012-04-22,2012-04-28,4,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/24/2012,24/04/2012,20120424,2012-04-24
2012-04-25,25,th,Wednesday,4,4,116,0,17,17,2012-04-22,2012-04-28,4,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/25/2012,25/04/2012,20120425,2012-04-25
2012-04-26,26,th,Thursday,5,4,117,0,17,17,2012-04-22,2012-04-28,4,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/26/2012,26/04/2012,20120426,2012-04-26
2012-04-27,27,th,Friday,6,4,118,0,17,17,2012-04-22,2012-04-28,4,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/27/2012,27/04/2012,20120427,2012-04-27
2012-04-28,28,th,Saturday,7,4,119,1,17,17,2012-04-22,2012-04-28,4,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/28/2012,28/04/2012,20120428,2012-04-28
2012-04-29,29,th,Sunday,1,5,120,1,18,17,2012-04-29,2012-05-05,5,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/29/2012,29/04/2012,20120429,2012-04-29
2012-04-30,30,th,Monday,2,5,121,0,18,18,2012-04-29,2012-05-05,5,4,April,2012-04-01,2012-04-30,2012-05-01,2012-05-31,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,042012,04/30/2012,30/04/2012,20120430,2012-04-30
2012-05-01,1,st,Tuesday,3,1,122,0,18,18,2012-04-29,2012-05-05,1,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/01/2012,01/05/2012,20120501,2012-05-01
2012-05-02,2,nd,Wednesday,4,1,123,0,18,18,2012-04-29,2012-05-05,1,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/02/2012,02/05/2012,20120502,2012-05-02
2012-05-03,3,rd,Thursday,5,1,124,0,18,18,2012-04-29,2012-05-05,1,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/03/2012,03/05/2012,20120503,2012-05-03
2012-05-04,4,th,Friday,6,1,125,0,18,18,2012-04-29,2012-05-05,1,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/04/2012,04/05/2012,20120504,2012-05-04
2012-05-05,5,th,Saturday,7,1,126,1,18,18,2012-04-29,2012-05-05,1,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/05/2012,05/05/2012,20120505,2012-05-05
2012-05-06,6,th,Sunday,1,1,127,1,19,18,2012-05-06,2012-05-12,2,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/06/2012,06/05/2012,20120506,2012-05-06
2012-05-07,7,th,Monday,2,1,128,0,19,19,2012-05-06,2012-05-12,2,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/07/2012,07/05/2012,20120507,2012-05-07
2012-05-08,8,th,Tuesday,3,2,129,0,19,19,2012-05-06,2012-05-12,2,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/08/2012,08/05/2012,20120508,2012-05-08
2012-05-09,9,th,Wednesday,4,2,130,0,19,19,2012-05-06,2012-05-12,2,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/09/2012,09/05/2012,20120509,2012-05-09
2012-05-10,10,th,Thursday,5,2,131,0,19,19,2012-05-06,2012-05-12,2,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/10/2012,10/05/2012,20120510,2012-05-10
2012-05-11,11,th,Friday,6,2,132,0,19,19,2012-05-06,2012-05-12,2,5,May,2012-05-01,2012-05-31,2012-06-01,2012-06-30,2,2012-04-01,2012-06-30,2012,2012,2012-01-01,2012-12-31,1,1,0,052012,05/11/2012,11/05/2012,20120511,2012-05-11
